rank_relevance,paper_id,doi,title,year,venue,authors,citation_count,source_url,seed_query,query_tag,category,concepts,abstract,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,hostile_score,importance_stage,notes
1,https://openalex.org/W3133866887,https://doi.org/10.1109/iros51168.2021.9636259,Sim-to-Real Transfer for Robotic Manipulation with Tactile Sensory,2021,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Zihan Ding; Ya-Yen Tsai; Wang Wei Lee; Bidan Huang,27,https://doi.org/10.1109/iros51168.2021.9636259,sim-to-real robotics,sim_to_real_core,contact_manipulation,Tactile sensor; Computer science; Task (project management); Reinforcement learning; Artificial intelligence; Sensory system; Proprioception; Computer vision; Stability (learning theory); Haptic technology; Robot; Engineering,"Reinforcement Learning (RL) methods have been widely applied for robotic manipulations via sim-to-real transfer, typically with proprioceptive and visual information. However, the incorporation of tactile sensing into RL for contact-rich tasks lacks investigation. In this paper, we model a tactile sensor in simulation and study the effects of its feedback in RL-based robotic control via a zero-shot sim-to-real approach with domain randomization. We demonstrate that learning and controlling with feedback from tactile sensor arrays at the gripper, both in simulation and reality, can enhance grasping stability, which leads to a significant improvement in robotic manipulation performance for a door opening task. In real-world experiments, the door open angle was increased by 45% on average for transferred policies with tactile sensing over those without it.","Transfer contact-rich manipulation skills despite friction, compliance, geometry, and sensing gaps.","Model, randomize, or learn contact dynamics and manipulation policies.",Contact uncertainty can be represented as parameters or broad robustness margins.,"Failure onset signatures, controller repair choices, and mechanism-specific contact probes.",Ambiguous contacts with identical task statistics but opposite corrective actions.,Showing that contact dynamics matter for sim-to-real manipulation.,Failure-mechanism diagnosis for contact repairs under few real interactions.,18,hostile_prior_work_100,
2,https://openalex.org/W2963184939,https://doi.org/10.15607/rss.2018.xiv.010,Sim-to-Real: Learning Agile Locomotion For Quadruped Robots,2018,,Jie Tan; Tingnan Zhang; Erwin Coumans; Atıl Işçen; Yunfei Bai; Danijar Hafner; et al.,673,https://doi.org/10.15607/rss.2018.xiv.010,sim-to-real robotics,sim_to_real_core,system_identification,Robot; Reinforcement learning; Agile software development; Computer science; Process (computing); Artificial intelligence; Control engineering; Robotics; Simulation; Human–computer interaction; Engineering; Software engineering,"Designing agile locomotion for quadruped robots often requires extensive expertise and tedious manual tuning. In this paper, we present a system to automate this process by leveraging deep reinforcement learning techniques. Our system can learn quadruped locomotion from scratch using simple reward signals. In addition, users can provide an open loop reference to guide the learning process when more control over the learned gait is needed. The control policies are learned in a physics simulator and then deployed on real robots. In robotics, policies trained in simulation often do not transfer to the real world. We narrow this reality gap by improving the physics simulator and learning robust policies. We improve the simulation using system identification, developing an accurate actuator model and simulating latency. We learn robust controllers by randomizing the physical environments, adding perturbations and designing a compact observation space. We evaluate our system on two agile locomotion gaits: trotting and galloping. After learning in simulation, a quadruped robot can successfully perform both gaits in the real world.",Estimate physical parameters of the real system and update the simulator or controller.,"Fit masses, friction, delays, gains, or dynamics parameters from observed trajectories.",The chosen parameterization contains the real gap and estimated parameters map monotonically to better control.,"Mechanism library boundaries, unmodeled contacts, failure observability, and nuisance appearance variables.","Non-identifiable parameters, aliased mechanisms with similar rollouts, and repairs that need categorical decisions.",Claims that transfer can be repaired by estimating simulator parameters.,Mechanism-level probes that identify the repair before accurate full-parameter estimation.,20,hostile_prior_work_100,
3,https://openalex.org/W4316876974,https://doi.org/10.1109/tcds.2023.3237734,A Sim-to-Real Learning-Based Framework for Contact-Rich Assembly by Utilizing CycleGAN and Force Control,2023,IEEE Transactions on Cognitive and Developmental Systems,Yunlei Shi; Chengjie Yuan; Athanasios Tsitos; Lin Cong; Hamid Hadjar; Zhaopeng Chen; et al.,28,https://doi.org/10.1109/tcds.2023.3237734,sim-to-real robotics,sim_to_real_core,domain_adaptation,Computer science; Reinforcement learning; Robot; Generalization; Artificial intelligence; Bridge (graph theory); Transfer of learning; Generative grammar; Domain (mathematical analysis); Internal medicine; Medicine; Mathematical analysis,"Deep reinforcement learning (RL) has succeeded in robotic manipulation applications. However, training robots in the real world is challenging due to sample efficiency and safety concerns. Sim-to-real transfer has been proposed to address the aforementioned concerns but introduces the reality gap. In this work, we introduce a sim-to-real learning framework for vision-based assembly tasks and perform training in a simulation environment by employing raw image inputs from a single camera to address the aforementioned issues. We build a robotic Peg-in-Hole (PiH) training environment that requires low-level simulation knowledge. We also present a domain adaptation method based on a cycle-consistent generative adversarial network (CycleGAN) and a force control transfer approach to bridge the reality gap. The proposed framework, trained in a simulation environment with different environmental scenes, can be successfully transferred to a real PiH setup with a UR5e robot. We then reproduce these results with a Diana7 robot and different peg shapes to verify the generalization ability of the framework.",Align source and target distributions so learned perception or policies transfer across domains.,"Learn domain-invariant features, adversarial alignments, image translations, or target-conditioned representations.",Distributional alignment preserves task-relevant causal factors and does not merge domains requiring different repairs.,"Controller semantics, intervention set, simulator causal graph, and failure labels.","Identical marginal statistics with different mechanisms, contact discontinuities, and policy-induced data shift.",A generic feature-alignment framing for sim-to-real transfer.,Intervention-relevant mechanism identification under sparse real trials.,18,hostile_prior_work_100,
4,https://openalex.org/W4394824370,https://doi.org/10.1016/j.actaastro.2024.04.012,Review of machine learning in robotic grasping control in space application,2024,Acta Astronautica,Hadi Jahanshahi; Zheng Zhu,83,https://doi.org/10.1016/j.actaastro.2024.04.012,sim-to-real robotics,sim_to_real_core,policy_transfer,Artificial intelligence; Computer science; Robotics; Convolutional neural network; Transfer of learning; Robot; Reinforcement learning; Deep learning; Machine learning; Artificial intelligence; Computer science; Robotics,"This article presents a comprehensive survey of the integration of machine learning techniques into robotic grasping, with a special emphasis on the challenges and advancements for space applications. The incorporation of artificial intelligence, particularly through deep learning, reinforcement learning, transfer learning, convolutional neural networks and recurrent neural networks, has significantly revolutionized robotic grasping. These advancements facilitate autonomous, efficient, and sophisticated manipulation in the challenging environment of outer space, transitioning from traditional mechanical grippers to sophisticated systems powered by advanced algorithms. This transition highlights the critical integration of sensory perception, grasp planning, and execution mechanisms, enhancing robots' capabilities to perceive, interact with, and manipulate objects with unprecedented precision and adaptability. The article meticulously outlines significant advancements achieved through the deployment of convolutional neural networks for visual information processing, RNNs for sequential decision-making, RL for autonomous strategy refinement, and transfer learning for leveraging pre-learned knowledge in novel tasks. These technologies address the unique challenges of space environments, such as varied textures, occlusions, microgravity conditions, and the sim-to-real gap, by enhancing sample efficiency, improving sim-to-real transfer capabilities, and integrating multimodal data for better object localization and pose estimation. Furthermore, the review explores the specific challenges faced in space robotic grasping, including handling varied textures and occlusions, adapting to unpredictable conditions, achieving real-time processing, and ensuring safety and reliability.",Train policies in simulation that perform on a physical robot.,"Use reinforcement learning, robust objectives, demonstrations, curriculum, or adaptation at deployment.",Task return can drive the right invariant behavior despite sparse real feedback.,"Failure explanation, deployment probes, and causal separation between nuisance shift and mechanism shift.",Low-trial diagnostic settings and mechanisms whose repairs reduce immediate reward before improving transfer.,A general sim-trained policy transfer contribution.,A repairable failure-mechanism representation for sample-limited deployment.,14,hostile_prior_work_100,
5,https://openalex.org/W4401415092,https://doi.org/10.1109/icra57147.2024.10610677,Domain Randomization for Sim2real Transfer of Automatically Generated Grasping Datasets,2024,,Johann Huber; François Hélénon; Hippolyte Watrelot; Faïz Ben Amar; Stéphane Doncieux,20,https://doi.org/10.1109/icra57147.2024.10610677,sim to real transfer robotics,sim_to_real_core,domain_randomization,Computer science; Randomization; Domain (mathematical analysis); Transfer (computing); Artificial intelligence; Mathematics; Bioinformatics; Clinical trial; Parallel computing; Biology; Mathematical analysis; Computer science,"Robotic grasping refers to making a robotic system pick an object by applying forces and torques on its surface. Many recent studies use data-driven approaches to address grasping, but the sparse reward nature of this task made the learning process challenging to bootstrap. To avoid constraining the operational space, an increasing number of works propose grasping datasets to learn from. But most of them are limited to simulations. The present paper investigates how automatically generated grasps can be exploited in the real world. More than 7000 reach-and-grasp trajectories have been generated with Quality-Diversity (QD) methods on 3 different arms and grippers, including parallel fingers and a dexterous hand, and tested in the real world. Conducted analysis on the collected measure shows correlations between several Domain Randomization-based quality criteria and sim-to-real transferability. Key challenges regarding the reality gap for grasping have been identified, stressing matters on which researchers on grasping should focus in the future. A QD approach has finally been proposed for making grasps more robust to domain randomization, resulting in a transfer ratio of 84% on the Franka Research 3 arm.",Close the reality gap by training policies over many randomized simulator domains.,"Expose the policy to sampled visual, dynamics, and nuisance parameters during training.",The randomization family covers the real transfer gap and the policy can learn invariances without knowing the failure mechanism.,"Failure taxonomy, repair action space, diagnostic interventions, and causal structure of contact/control failures.","Mechanism aliasing, rare coupled failures, repair-dependent observability, and nuisance dimensions that dominate domain statistics.",A broad claim that randomized simulation improves robustness or transfer.,Which physical failure mechanism caused transfer collapse and which minimal repair should be applied.,19,hostile_prior_work_100,
6,https://openalex.org/W2605102758,https://doi.org/10.1109/iros.2017.8202133,Domain randomization for transferring deep neural networks from simulation to the real world,2017,,Josh Tobin; Rachel Fong; Alex Ray; Jonas Schneider; Wojciech Zaremba; Pieter Abbeel,2737,https://doi.org/10.1109/iros.2017.8202133,reality gap robotics,sim_to_real_core,domain_randomization,Computer science; Artificial intelligence; Rendering (computer graphics); Robotics; Artificial neural network; Computer vision; Bridging (networking); Robotic arm; Deep learning; Transfer of learning; Robot; RGB color model,"Bridging the `reality gap' that separates simulated robotics from experiments on hardware could accelerate robotic research through improved data availability. This paper explores domain randomization, a simple technique for training models on simulated images that transfer to real images by randomizing rendering in the simulator. With enough variability in the simulator, the real world may appear to the model as just another variation. We focus on the task of object localization, which is a stepping stone to general robotic manipulation skills. We find that it is possible to train a real-world object detector that is accurate to 1.5 cm and robust to distractors and partial occlusions using only data from a simulator with non-realistic random textures. To demonstrate the capabilities of our detectors, we show they can be used to perform grasping in a cluttered environment. To our knowledge, this is the first successful transfer of a deep neural network trained only on simulated RGB images (without pre-training on real images) to the real world for the purpose of robotic control.",Close the reality gap by training policies over many randomized simulator domains.,"Expose the policy to sampled visual, dynamics, and nuisance parameters during training.",The randomization family covers the real transfer gap and the policy can learn invariances without knowing the failure mechanism.,"Failure taxonomy, repair action space, diagnostic interventions, and causal structure of contact/control failures.","Mechanism aliasing, rare coupled failures, repair-dependent observability, and nuisance dimensions that dominate domain statistics.",A broad claim that randomized simulation improves robustness or transfer.,Which physical failure mechanism caused transfer collapse and which minimal repair should be applied.,19,hostile_prior_work_100,
7,https://openalex.org/W2973454014,,Real-World Robotic Perception and Control Using Synthetic Data,2019,eScholarship (California Digital Library),Joshua Tobin,5,https://escholarship.org/uc/item/2p62j4cm,sim to real transfer robotics,sim_to_real_core,domain_randomization,Computer science; Artificial intelligence; Rendering (computer graphics); Robotics; Synthetic data; GRASP; Deep learning; Scalability; Artificial neural network; Robot; Machine learning; Computer vision,"Modern deep learning techniques are data-hungry, which presents a problem in robotics because real-world robotic data is difficult to collect. Simulated data is cheap and scalable, but jumping the ""reality gap"" to use simulated data for real-world tasks is challenging. In this thesis, we discuss using synthetic data to learn visual models that allow robots to perform manipulation tasks in the real world. We begin by discussing domain randomization, a technique for bridging the reality gap by massively randomizing the visual properties of the simulator. We demonstrate that, using domain randomization, synthetic data alone can be used to train a deep neural network to localize objects accurately enough for a robot to grasp them in the real world. The remainder of the thesis discusses extensions of this approach to a broader range of objects and scenes. First, we introduce a data generation pipeline inspired by the success of domain randomization for visual data that creates millions of unrealistic procedurally generated random objects, removing the assumption that 3D models of the objects are present at training time. Second, we reformulate the problem from pose prediction to grasp prediction and introduce a generative model architecture that learns a distribution over grasps, allowing our models to handle pose ambiguity and grasp a wide range of objects with a single neural network. Third, we introduce an attention mechanism for 3-dimensional data. We demonstrate that this attention mechanism can be used to perform higher fidelity neural rendering, and that models learned this way can be fine-tuned to perform accurate pose estimation when the camera intrinsics are unknown at training time.We conclude by surveying recent applications and extensions of domain randomization",Close the reality gap by training policies over many randomized simulator domains.,"Expose the policy to sampled visual, dynamics, and nuisance parameters during training.",The randomization family covers the real transfer gap and the policy can learn invariances without knowing the failure mechanism.,"Failure taxonomy, repair action space, diagnostic interventions, and causal structure of contact/control failures.","Mechanism aliasing, rare coupled failures, repair-dependent observability, and nuisance dimensions that dominate domain statistics.",A broad claim that randomized simulation improves robustness or transfer.,Which physical failure mechanism caused transfer collapse and which minimal repair should be applied.,15,hostile_prior_work_100,
8,https://openalex.org/W4390591052,https://doi.org/10.1109/lra.2024.3349934,Learning Locomotion for Quadruped Robots via Distributional Ensemble Actor-Critic,2024,IEEE Robotics and Automation Letters,Sicen Li; Yiming Pang; Panju Bai; Jiawei Li; Zhaojin Liu; Shihao Hu; et al.,14,https://doi.org/10.1109/lra.2024.3349934,sim-to-real robotics,sim_to_real_core,domain_randomization,Robot; Representation (politics); Traverse; Computer science; Controller (irrigation); Terrain; Domain (mathematical analysis); Control theory (sociology); Robotics; Value (mathematics); Artificial intelligence; Control (management),"Domain randomization introduces perturbations in the simulation to make controllers less susceptible to the reality gap, which enables remarkable sim-to-real transfer on real quadruped robots. However, aleatoric uncertainty originating from perturbations could often lead to suboptimal controllers. In this work, we present a novel algorithm called Distributional Ensemble Actor-Critic (DEAC) that blends three ideas: distributional representation of a critic, lower bounds of the value distribution, and ensembling of multiple critics and actors. Distributional representation and ensembling provide reasonable uncertainty estimates, while lower bounds of the value distribution offer finer-grained error control. The simulation results show that the controller trained by DEAC outperforms the other baselines in the domain randomization setting. The trained controller is deployed on an A1-like robot, demonstrating high-speed running and the ability to traverse diverse terrains such as slippery plates, grassland, and wet dirt.",Close the reality gap by training policies over many randomized simulator domains.,"Expose the policy to sampled visual, dynamics, and nuisance parameters during training.",The randomization family covers the real transfer gap and the policy can learn invariances without knowing the failure mechanism.,"Failure taxonomy, repair action space, diagnostic interventions, and causal structure of contact/control failures.","Mechanism aliasing, rare coupled failures, repair-dependent observability, and nuisance dimensions that dominate domain statistics.",A broad claim that randomized simulation improves robustness or transfer.,Which physical failure mechanism caused transfer collapse and which minimal repair should be applied.,18,hostile_prior_work_100,
9,https://openalex.org/W3212380917,https://doi.org/10.3389/frobt.2022.799893,Robot Learning From Randomized Simulations: A Review,2022,Frontiers in Robotics and AI,Fabio Muratore; Fábio Ramos; Greg Turk; Wenhao Yu; Michael Gienger; Jan Peters,101,https://doi.org/10.3389/frobt.2022.799893,sim-to-real robotics,sim_to_real_core,domain_randomization,Computer science; Robotics; Artificial intelligence; Robot; Deep learning; Transfer of learning; Domain (mathematical analysis); Human–computer interaction; Machine learning; Mathematical analysis; Mathematics; Computer science,"The rise of deep learning has caused a paradigm shift in robotics research, favoring methods that require large amounts of data. Unfortunately, it is prohibitively expensive to generate such data sets on a physical platform. Therefore, state-of-the-art approaches learn in simulation where data generation is fast as well as inexpensive and subsequently transfer the knowledge to the real robot (sim-to-real). Despite becoming increasingly realistic, all simulators are by construction based on models, hence inevitably imperfect. This raises the question of how simulators can be modified to facilitate learning robot control policies and overcome the mismatch between simulation and reality, often called the ""reality gap."" We provide a comprehensive review of sim-to-real research for robotics, focusing on a technique named ""domain randomization"" which is a method for learning from randomized simulations.",Close the reality gap by training policies over many randomized simulator domains.,"Expose the policy to sampled visual, dynamics, and nuisance parameters during training.",The randomization family covers the real transfer gap and the policy can learn invariances without knowing the failure mechanism.,"Failure taxonomy, repair action space, diagnostic interventions, and causal structure of contact/control failures.","Mechanism aliasing, rare coupled failures, repair-dependent observability, and nuisance dimensions that dominate domain statistics.",A broad claim that randomized simulation improves robustness or transfer.,Which physical failure mechanism caused transfer collapse and which minimal repair should be applied.,20,hostile_prior_work_100,
10,https://openalex.org/W4389352651,https://doi.org/10.1109/access.2023.3339568,Efficient Sim-to-Real Transfer in Reinforcement Learning Through Domain Randomization and Domain Adaptation,2023,IEEE Access,Aidar Shakerimov; Tohid Alizadeh; Hüseyin Atakan Varol,15,https://doi.org/10.1109/access.2023.3339568,sim to real transfer robotics,sim_to_real_core,domain_randomization,Computer science; Reinforcement learning; Robustness (evolution); Inverted pendulum; Artificial intelligence; Domain (mathematical analysis); Robot; Machine learning; Mathematics; Quantum mechanics; Chemistry; Mathematical analysis,"Reinforcement learning has gained significant interest in modern industries for its advancements in tackling challenging control tasks compared to rule-based programs. However, the robustness aspect of this technique is still under development, limiting its widespread adoption. This problem has become more pronounced as users switch to training simulations to reduce costs, resulting in a reality gap that negatively affects real-world performance. One popular method employed to mitigate this problem is randomizing uncertain parameters of the environment during training. Nevertheless, this approach requires expert knowledge to determine the appropriate range of randomization. On the other hand, there is a technique that introduces fine-tuning of agents by adapting their policies to new environments. However, it is challenging to adapt policies when the new environment requires shifting them off their initial distribution. These obstacles limit the practical utilization and popularization of both techniques. Our study proposes a hybrid approach that handles these issues by fine-tuning agents trained with domain randomization through additional real-world training. To assess the efficacy of our approach, we conducted experiments involving a rotary inverted pendulum, augmented with an extra weight not represented in the simulation. Additionally, we employed simulated environments including a cart pole, a simple pendulum, a quadruped, and an ant robot scenario. These environments were given in two distinct versions with mismatching parameters to imitate a gap between training and testing conditions. The results demonstrate that adding as few as twenty to fifty additional real-world training episodes can significantly enhance the performance of agents trained with domain rando",Close the reality gap by training policies over many randomized simulator domains.,"Expose the policy to sampled visual, dynamics, and nuisance parameters during training.",The randomization family covers the real transfer gap and the policy can learn invariances without knowing the failure mechanism.,"Failure taxonomy, repair action space, diagnostic interventions, and causal structure of contact/control failures.","Mechanism aliasing, rare coupled failures, repair-dependent observability, and nuisance dimensions that dominate domain statistics.",A broad claim that randomized simulation improves robustness or transfer.,Which physical failure mechanism caused transfer collapse and which minimal repair should be applied.,18,hostile_prior_work_100,
